subject,item,condition,correct,start,end,answer,accuracy
1,1,1,3,2035296,2052441,3,1
1,2,1,1,2053103,2062228,1,1
1,3,1,1,2062889,2073013,1,1
1,4,1,4,2073676,2080970,4,1
1,5,1,2,2081633,2092216,2,1
1,6,2,1,3552674,3592101,2,0
1,7,2,1,3592763,3606305,1,1
1,8,2,2,3606969,3618880,2,1
1,9,2,4,3619542,3628057,1,0
1,10,2,1,3628719,3638103,1,1
2,1,2,3,1264504,1273543,3,1
2,2,2,1,1274206,1283879,1,1
2,3,2,1,1284541,1290686,1,1
2,4,2,4,1291348,1297463,4,1
2,5,2,2,1298126,1301142,2,1
2,6,1,1,1941398,1950256,1,1
2,7,1,1,1950918,1956873,1,1
2,8,1,2,1957535,1961841,2,1
2,9,1,4,1962504,1965560,4,1
2,10,1,1,1966222,1970638,1,1
3,6,2,1,4968289,4975566,1,1
3,7,2,1,4976228,4991210,1,1
3,8,2,2,4991872,4996308,2,1
3,9,2,4,4996970,5002365,4,1
3,10,2,1,5003028,5007363,1,1
3,1,1,3,5460922,5465471,3,1
3,2,1,1,5466134,5470429,1,1
3,3,1,1,5471092,5476947,1,1
3,4,1,4,5477610,5482154,4,1
3,5,1,2,5482817,5485733,2,1
4,6,1,1,6151077,6157048,1,1
4,7,1,1,6157710,6163872,1,1
4,8,1,2,6164535,6168372,2,1
4,9,1,4,6169034,6171931,4,1
4,10,1,1,6172593,6175814,1,1
4,1,2,3,6544346,6549884,3,1
4,2,2,1,6550546,6553692,1,1
4,3,2,1,6554355,6557625,1,1
4,4,2,4,6558288,6561534,4,1
4,5,2,2,6562197,6564859,2,1
5,1,1,3,9931112,9940931,3,1
5,2,1,1,9941593,9945331,1,1
5,3,1,1,9945993,9950131,1,1
5,4,1,4,9950794,9954156,4,1
5,5,1,2,9954818,9957739,2,1
5,6,2,1,10464044,10469338,1,1
5,7,2,1,10470001,10476130,1,1
5,8,2,2,10476792,10481071,2,1
5,9,2,4,10481734,10484246,4,1
5,10,2,1,10484908,10495612,1,1
6,1,2,3,13224774,13230913,3,1
6,2,2,1,13231575,13236211,1,1
6,3,2,1,13236874,13240489,1,1
6,4,2,4,13241152,13245957,4,1
6,5,2,2,13246619,13250116,2,1
6,6,1,1,13714148,13718939,1,1
6,7,1,1,13719602,13725636,1,1
6,8,1,2,13726298,13729455,2,1
6,9,1,4,13730118,13733193,4,1
6,10,1,1,13733855,13738271,1,1
7,6,2,1,4208068,4219335,1,1
7,7,2,1,4219997,4228681,1,1
7,8,2,2,4229344,4233219,2,1
7,9,2,4,4233882,4236858,4,1
7,10,2,1,4237522,4243285,1,1
7,1,1,3,4771953,4777993,3,1
7,2,1,1,4778657,4783461,1,1
7,3,1,1,4784123,4787789,1,1
7,4,1,4,4788454,4793217,4,1
7,5,1,2,4793879,4796555,2,1
8,6,1,1,6119499,6128087,1,1
8,7,1,1,6128749,6135024,1,1
8,8,1,2,6135686,6140402,2,1
8,9,1,4,6141065,6144420,4,1
8,10,1,1,6145083,6150608,1,1
8,1,2,3,6633274,6638484,3,1
8,2,2,1,6639147,6644941,1,1
8,3,2,1,6645610,6650469,1,1
8,4,2,4,6651131,6656186,4,1
8,5,2,2,6656849,6661724,2,1
9,1,1,3,8450073,8455332,3,1
9,2,1,1,8455994,8464988,1,1
9,3,1,1,8465650,8470096,1,1
9,4,1,4,8470760,8474854,4,1
9,5,1,2,8475516,8478093,2,1
9,6,2,1,8967158,8973106,1,1
9,7,2,1,8973768,8980433,1,1
9,8,2,2,8981095,8984491,2,1
9,9,2,4,8985154,8987900,4,1
9,10,2,1,8988562,8993198,1,1
10,1,2,3,12817604,12824198,3,1
10,2,2,1,12824860,12829881,1,1
10,3,2,1,12830545,12835898,1,1
10,4,2,4,12836560,12841506,4,1
10,5,2,2,12842168,12845772,2,1
10,6,1,1,13174609,13180936,1,1
10,7,1,1,13181599,13187352,1,1
10,8,1,2,13188015,13193344,2,1
10,9,1,4,13194006,13197493,4,1
10,10,1,1,13198156,13204802,1,1
11,6,2,1,4178160,4186509,1,1
11,7,2,1,4187171,4200414,1,1
11,8,2,2,4201076,4208540,2,1
11,9,2,4,4209203,4213918,4,1
11,10,2,1,4214580,4222285,1,1
11,1,1,3,5140650,5146600,3,1
11,2,1,1,5147261,5154136,1,1
11,3,1,1,5154799,5160254,1,1
11,4,1,4,5160917,5164822,4,1
11,5,1,2,5165485,5169920,2,1
12,6,1,1,1121909,1128354,1,1
12,7,1,1,1129017,1134446,1,1
12,8,1,2,1135108,1139362,2,1
12,9,1,4,1140024,1142837,4,1
12,10,1,1,1143500,1147904,1,1
12,1,2,3,1663334,1668279,3,1
12,2,2,1,1668941,1673804,1,1
12,3,2,1,1674466,1677379,1,1
12,4,2,4,1678041,1681537,4,1
12,5,2,2,1682199,.,.,0
13,1,1,3,12774971,12785558,3,1
13,2,1,1,12786221,12792265,1,1
13,3,1,1,12792928,12797373,1,1
13,4,1,4,12798035,12802231,4,1
13,5,1,2,12802894,12806240,2,1
13,6,2,1,13212565,13218805,1,1
13,7,2,1,13219467,13225622,1,1
13,8,2,2,13226285,13230231,2,1
13,9,2,4,13230894,13234369,4,1
13,10,2,1,13235032,13240157,1,1
14,6,1,1,1070914,1080543,1,1
14,7,1,1,1081205,1090769,1,1
14,8,1,2,1091431,1096386,2,1
14,9,1,4,1097048,1099855,4,1
14,10,1,1,1100517,1104173,1,1
14,1,2,3,1693747,1698767,3,1
14,2,2,1,1699429,1706653,1,1
14,3,2,1,1707316,1711392,1,1
14,4,2,4,1712054,1717919,4,1
14,5,2,2,1718582,1721887,2,1
15,6,2,1,3048040,3078209,1,1
15,7,2,1,3078872,3086316,1,1
15,8,2,2,3086978,3092483,2,1
15,9,2,4,3093145,3097441,4,1
15,10,2,1,3098105,3103669,1,1
15,1,1,3,3580413,3585791,3,1
15,2,1,1,3586453,3590819,1,1
15,3,1,1,3591482,3595747,1,1
15,4,1,4,3596409,3600375,4,1
15,5,1,2,3601038,3604254,2,1
16,6,1,1,2546682,2575934,1,1
16,7,1,1,2576597,2594459,3,0
16,8,1,2,2595121,2603917,2,1
16,9,1,4,2604579,2610091,4,1
16,10,1,1,2610754,2618916,1,1
16,1,2,3,3238215,3246878,3,1
16,2,2,1,3247541,3256594,1,1
16,3,2,1,3257257,3267460,1,1
16,4,2,4,3268122,3275510,4,1
16,5,2,2,3276172,3280060,2,1
17,1,1,3,4663594,4674571,3,1
17,2,1,1,4675233,4683848,1,1
17,3,1,1,4684510,4692364,1,1
17,4,1,4,4693026,4698652,4,1
17,5,1,2,4699314,4702480,2,1
17,6,2,1,5774655,5781185,1,1
17,7,2,1,5781847,5792350,1,1
17,8,2,2,5793013,5799628,2,1
17,9,2,4,5800290,5804026,4,1
17,10,2,1,5804688,5812792,1,1
18,1,2,3,11097065,11109071,3,1
18,2,2,1,11109734,11115728,1,1
18,3,2,1,11116391,11121916,1,1
18,4,2,4,11122578,11128293,4,1
18,5,2,2,11128957,11132622,2,1
18,6,1,1,11740043,11749709,2,0
18,7,1,1,11750371,11759275,1,1
18,8,1,2,11759938,11769821,2,1
18,9,1,4,11770484,11774379,4,1
18,10,1,1,11775041,11780707,1,1
19,6,2,1,4240196,4247734,1,1
19,7,2,1,4248396,4257409,1,1
19,8,2,2,4258071,4262801,2,1
19,9,2,4,4263463,4266600,4,1
19,10,2,1,4267263,4272800,1,1
19,1,1,3,4703015,4708102,3,1
19,2,1,1,4708765,4714393,1,1
19,3,1,1,4715056,4721585,1,1
19,4,1,4,4722248,4727810,4,1
19,5,1,2,4728472,4732409,2,1
20,6,1,1,18415120,18438193,1,1
20,7,1,1,18438855,18450368,1,1
20,8,1,2,18451030,18460554,2,1
20,9,1,4,18461217,18465372,4,1
20,10,1,1,18466034,18472519,1,1
20,1,2,3,19081495,19090053,3,1
20,2,2,1,19090717,19097421,1,1
20,3,2,1,19098082,19104388,1,1
20,4,2,4,19105050,19109926,4,1
20,5,2,2,19110589,19115063,2,1
21,1,1,3,21109191,21119558,3,1
21,2,1,1,21120220,21125886,1,1
21,3,1,1,21126548,21131523,1,1
21,4,1,4,21132186,21137721,4,1
21,5,1,2,21138384,21143169,2,1
21,6,2,1,21702667,21707587,1,1
21,7,2,1,21708249,21715144,1,1
21,8,2,2,21715807,21721632,2,1
21,9,2,4,21722295,21727360,4,1
21,10,2,1,21728022,21734737,1,1
22,1,2,3,2062635,2071406,3,1
22,2,2,1,2072068,2076730,1,1
22,3,2,1,2077393,2081722,1,1
22,4,2,4,2082384,2086797,4,1
22,5,2,2,2087459,2089680,2,1
22,6,1,1,2679240,2684710,1,1
22,7,1,1,2685372,2693119,1,1
22,8,1,2,2693781,2698768,2,1
22,9,1,4,2699430,2703168,4,1
22,10,1,1,2703831,2707951,1,1
23,6,2,1,2769437,2778441,1,1
23,7,2,1,2779103,2790682,1,1
23,8,2,2,2791344,2803123,2,1
23,9,2,4,2803786,2810748,2,0
23,10,2,1,2811411,2817606,1,1
23,1,1,3,3619078,3631505,2,0
23,2,1,1,3632168,3637938,1,1
23,3,1,1,3638600,3644971,1,1
23,4,1,4,3645634,3652713,4,1
23,5,1,2,3653374,3657279,2,1
24,6,1,1,1041786,1049206,1,1
24,7,1,1,1049868,1071705,1,1
24,8,1,2,1072367,1079755,2,1
24,9,1,4,1080417,1084788,4,1
24,10,1,1,1085451,1092171,1,1
24,1,2,3,1959745,1967807,3,1
24,2,2,1,1968470,1979198,1,1
24,3,2,1,1979862,1992206,2,0
24,4,2,4,1992869,1998956,4,1
24,5,2,2,1999619,2007297,2,1
25,6,2,1,1056137,1061566,1,1
25,7,2,1,1062229,1068290,1,1
25,8,2,2,1068953,1072624,2,1
25,9,2,4,1073286,1077040,4,1
25,10,2,1,1077702,1082423,1,1
25,1,1,3,1511164,1514975,3,1
25,2,1,1,1515637,1521116,1,1
25,3,1,1,1521779,1525258,1,1
25,4,1,4,1525920,1529449,4,1
25,5,1,2,1530112,1532774,2,1
26,1,2,3,8294278,8302558,3,1
26,2,2,1,8303220,8309341,1,1
26,3,2,1,8310003,8315741,1,1
26,4,2,4,8316402,8321624,4,1
26,5,2,2,8322286,8325682,2,1
26,6,1,1,8886068,8892688,1,1
26,7,1,1,8893351,8898705,1,1
26,8,1,2,8899368,8905446,2,1
26,9,1,4,8906110,8909746,4,1
26,10,1,1,8910409,8917163,1,1
27,6,2,1,1709807,1720002,2,0
27,7,2,1,1720665,1734335,1,1
27,8,2,2,1734997,1741768,2,1
27,9,2,4,1742431,1745951,4,1
27,10,2,1,1746614,1753476,1,1
27,1,1,3,2318411,2325031,3,1
27,2,1,1,2325694,2331006,1,1
27,3,1,1,2331669,2340014,1,1
27,4,1,4,2340677,2345531,4,1
27,5,1,2,2346193,2350055,2,1
28,6,1,1,1231149,1249068,1,1
28,7,1,1,1249730,1255409,1,1
28,8,1,2,1256072,1266642,2,1
28,9,1,4,1267304,1271217,4,1
28,10,1,1,1271879,1278250,1,1
28,1,2,3,1860194,1866056,3,1
28,2,2,1,1866720,1872331,1,1
28,3,2,1,1872993,1876448,1,1
28,4,2,4,1877110,1881206,4,1
28,5,2,2,1881869,1885281,2,1
29,1,1,3,1600264,1610284,3,1
29,2,1,1,1610947,1618342,1,1
29,3,1,1,1619005,1624300,1,1
29,4,1,4,1624963,1633017,4,1
29,5,1,2,1633680,1639033,2,1
29,6,2,1,2551158,2560795,1,1
29,7,2,1,2561457,2574245,1,1
29,8,2,2,2574907,2581611,2,1
29,9,2,4,2582273,2586753,4,1
29,10,2,1,2587415,2594044,1,1
30,1,2,3,6689435,6694955,3,1
30,2,2,1,6695617,6701480,1,1
30,3,2,1,6702143,6706988,1,1
30,4,2,4,6707651,6712388,4,1
30,5,2,2,6713050,6716771,2,1
30,6,1,1,7175401,7180289,1,1
30,7,1,1,7180952,7188472,1,1
30,8,1,2,7189134,7194555,2,1
30,9,1,4,7195218,7198771,4,1
30,10,1,1,7199434,7204488,1,1
31,6,2,1,1137175,1150529,1,1
31,7,2,1,1151191,1163428,1,1
31,8,2,2,1164090,1170836,2,1
31,9,2,4,1171499,1175545,4,1
31,10,2,1,1176207,1182461,1,1
31,1,1,3,1846361,1853090,3,1
31,2,1,1,1853752,1859373,1,1
31,3,1,1,1860036,1867123,1,1
31,4,1,4,1867785,1874031,4,1
31,5,1,2,1874694,1879381,2,1
32,6,1,1,2047366,2057578,1,1
32,7,1,1,2058240,2069403,3,0
32,8,1,2,2070065,2074594,2,1
32,9,1,4,2075258,2079161,4,1
32,10,1,1,2079824,2085386,1,1
32,1,2,3,2556824,2565627,3,1
32,2,2,1,2566290,2570810,1,1
32,3,2,1,2571473,2576293,1,1
32,4,2,4,2576957,2581835,4,1
32,5,2,2,2582497,2585843,2,1
